x,y,z
449.6110548,351.5801788,0.819607843
193.8007164,836.1983788,0.768627451
659.4643144,663.3379879,0.662745098
235.6837812,237.985847,0.603921569
522.3847654,332.1223478,0.631372549
227.7187128,165.5295058,0.556862745
221.0636647,417.410196,0.403921569
530.2747887,168.097665,0.745098039
576.1800799,357.1826986,0.262745098
537.7955257,536.5040856,0.435294118
454.2187345,555.7085422,0.333333333
650.0475355,798.5645165,0.592156863
197.5524579,349.9053114,0.250980392
192.1918912,476.6627183,0.290196078
580.5228182,293.7680958,0.623529412
535.2035092,566.7165108,0.698039216
379.2466133,80.35612998,0.756862745
581.4222056,589.92692,0.682352941
505.4989999,377.8575639,0.658823529
711.2191669,755.6776974,0.694117647
62.26215134,745.1822026,0.650980392
606.3570411,739.1346995,0.752941176
133.9105795,535.7889342,0.329411765
196.6651836,861.6519868,0.729411765
291.0136911,908.6345709,0.784313725
212.0931979,217.1849659,0.450980392
104.3459842,637.0854857,0.619607843
293.909402,340.9138063,0.666666667
675.8910606,791.5251178,0.690196078
650.7410768,734.574355,0.733333333
487.835693,90.08004411,0.752941176
195.3818223,476.3167554,0.329411765
570.1324219,906.3788211,0.352941176
704.4023517,682.4849176,0.654901961
185.331275,392.6631878,0.498039216
299.6559232,515.7853172,0.423529412
319.285926,238.6739397,0.811764706
181.0071517,580.6687103,0.435294118
399.6428999,488.9639598,0.752941176
353.3923029,102.291074,0.796078431
547.0301853,787.3353341,0.745098039
72.5150642,623.0898928,0.623529412
630.3587978,784.5224715,0.690196078
269.5156171,703.5600306,0.631372549
141.3067003,730.7673936,0.62745098
652.2113809,816.9080555,0.588235294
225.0270881,391.0519297,0.364705882
384.6857958,452.7521805,0.541176471
516.6748802,341.2072566,0.682352941
304.7637782,492.2149608,0.57254902
424.1420387,333.0394588,0.854901961
477.3147712,715.8944312,0.792156863
398.9742163,473.1073388,0.478431373
351.5076326,289.0935337,0.349019608
177.664059,345.4565688,0.368627451
608.6779048,402.4106183,0.674509804
108.6074518,754.2021421,0.749019608
609.7388954,622.9181515,0.698039216
210.3858018,882.9469062,0.48627451
434.0947361,893.9892998,0.760784314
439.8674027,948.4487656,0.239215686
536.4379855,919.5999372,0.717647059
377.7322079,964.9109071,0.388235294
481.8869236,524.4240546,0.380392157
248.2389649,480.8789232,0.345098039
299.4072159,167.8647311,0.705882353
579.7192955,513.6882432,0.411764706
401.0983328,633.9845708,0.388235294
209.6795942,386.2922783,0.325490196
346.469263,426.3285475,0.635294118
488.9148221,390.0337054,0.717647059
513.724025,711.1738349,0.709803922
240.5673072,915.5494736,0.749019608
439.3299153,543.760325,0.654901961
553.8332638,264.7721617,0.537254902
187.0042972,454.011602,0.290196078
355.6675048,827.5736812,0.839215686
519.4581525,833.5496571,0.8
234.7050523,358.9664099,0.396078431
295.5457943,418.8447263,0.580392157
554.038775,750.8559331,0.756862745
494.0217481,91.82933976,0.71372549
550.3232333,432.5076227,0.623529412
253.5427852,516.4981813,0.498039216
385.7035332,967.6576339,0.462745098
320.5051298,784.8601112,0.780392157
298.2592701,184.7563348,0.690196078
222.4425751,777.8443698,0.792156863
62.91144737,609.5164984,0.647058824
133.7249259,742.1413574,0.619607843
494.4015565,531.1487787,0.407843137
412.5796884,411.760962,0.388235294
421.6851503,297.5032546,0.478431373
332.3440524,947.7103083,0.376470588
448.7363223,567.5337271,0.325490196
350.9605364,921.8409492,0.788235294
568.600723,372.5901857,0.388235294
255.8802158,492.4708636,0.337254902
487.8884813,538.4836005,0.345098039
584.1186558,657.0006837,0.670588235
407.1475579,659.1549605,0.392156863
139.8390023,499.9066443,0.321568627
423.306096,425.4960655,0.407843137
365.8207418,646.6749055,0.415686275
324.4241772,82.58180229,0.670588235
227.3413404,293.5669165,0.439215686
609.5274257,710.0628009,0.639215686
311.8356749,67.64122073,0.82745098
398.7289614,489.3815698,0.725490196
490.7127707,98.56746078,0.733333333
390.0821018,693.922791,0.650980392
422.4251272,615.4630987,0.4
645.4772127,867.8839839,0.305882353
160.1299901,715.4704715,0.709803922
172.9657213,560.953303,0.556862745
186.5798431,899.5149672,0.466666667
68.3793189,731.641947,0.650980392
298.3730018,584.383914,0.443137255
511.5397536,277.8460092,0.650980392
516.7648612,286.0530921,0.709803922
531.6097087,485.7874528,0.301960784
161.4508639,337.8339116,0.360784314
319.2471996,430.7931614,0.666666667
295.0891504,140.0137322,0.717647059
370.5785395,398.6276777,0.552941176
408.2335593,767.9580915,0.752941176
473.5100154,320.0594078,0.725490196
